Link,Dirección,Estado,Entrega_aprox,Mantenimiento
/inmueble/proyecto/ememhvin-proyecto-las-praderas-lima-chorrillos-tale-inmobiliaria-142464193,"Chorrillos, Lima",en planos,· Entrega marzo 2027,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-amaranta-lima-pueblo-libre-abril-grupo-inmobiliario-66908976,"Pueblo Libre, Lima",en construcción,· Entrega enero 2026,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-villa-magnolia-san-miguel-san-miguel-caliza-inmobiliaria-sac-90232091,"San Miguel, San Miguel",en construcción,· Entrega 2° trimestre 2025,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-mum-363-lima-magdalena-tale-inmobiliaria-142452411,"Magdalena, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-salaverry-571-lima-jesus-maria-desarrolladora-del-pacifico-4000088,"Jesús María, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-torre-tale-primavera-lima-san-borja-tale-inmobiliaria-4533401,"San Borja, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-aramburu-living-san-isidro-limatambo-grupo-tyc-143188173,"Limatambo, San Isidro",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-schell-lima-miraflores-inversiones-volterra-61210702,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-preventa-edificio-las-moras-la-castellana-surco-santiago-de-surco-la-castellana-vartel-constructora-inmobiliaria-143719713,"La Castellana, Santiago de Surco",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-central-park-lima-cercado-santa-beatriz-tribeca-inmobiliaria-65127208,"Santa Beatriz, Lima Cercado",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-lanzamiento:-green-living-miraflores:-desde-us$1-772-m-sup2--1-2-y-3-dorm-miraflores-leuro-thunderbird-hoteles-las-americas-60363750,"Leuro, Miraflores",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-vert-lima-cercado-santa-beatriz-vienna-constructores-65067589,"Santa Beatriz, Lima Cercado",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-nueva-aurora-3-surquillo-barrio-medico-vienna-constructores-4388456,"Barrio Medico, Surquillo",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-privia-jesus-maria-santa-beatriz-vienna-constructores-4388466,"Santa Beatriz, Jesús María",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-hills-camacho-entrega-inmediata-lima-santiago-de-surco-grupo-tyc-4528619,"Santiago de Surco, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-3-dormitorios-144344869,"San Miguel, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-las-magnolias-santiago-de-surco-2-dormitorios-144074086,"Las Magnolias, Santiago de Surco",Departamento finalizado,Departamento finalizado,500
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-144113963,"San Borja, Lima",Departamento finalizado,Departamento finalizado,320
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-ignacio-barranco-2-dormitorios-144016604,"San Ignacio, Barranco",Departamento finalizado,Departamento finalizado,390
/inmueble/clasificado/veclapin-venta-de-departamento-en-las-palmeras-los-olivos-2-dormitorios-143924866,"Las Palmeras, Los Olivos",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-san-borja-3-dormitorios-144212013,"Chacarilla, San Borja",Departamento finalizado,Departamento finalizado,600
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-3-dormitorios-143530208,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,658
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-2-dormitorios-90307202,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,320
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-3-dormitorios-144318927,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,350
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-2-dormitorios-144042058,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,600
/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-4-dormitorios-144083422,"Magdalena, Lima",Departamento finalizado,Departamento finalizado,300
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-2-dormitorios-144338366,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-141838716,"Santiago de Surco, Lima",Departamento finalizado,Departamento finalizado,720
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-1-dormitorio-141851259,"San Borja, Lima",Departamento finalizado,Departamento finalizado,150
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-3-dormitorios-144275800,"San Miguel, Lima",Departamento finalizado,Departamento finalizado,150
/inmueble/proyecto/ememhvin-proyecto-pardo-1453-lima-miraflores-frontera-inmobiliaria-143536380,"Miraflores, Lima",en planos,· Entrega febrero 2027,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-mariscal-castilla-lima-santiago-de-surco-tale-inmobiliaria-65659522,"Santiago de Surco, Lima",en construcción,· Entrega diciembre 2025,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-preminenza-lima-san-isidro-urbana-peru-91157210,"San Isidro, Lima",en planos,· Entrega julio 2026,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-acacias-263-miraflores-malecon-armendariz-grupo-gobesa-143588861,"Malecon Armendariz, Miraflores",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-visum-lima-san-isidro-urbalima-4509971,"San Isidro, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-friendz-2-chorrillos-la-campina-hl-desarrollos-inmobiliarios-4597957,"La Campiña, Chorrillos",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-founder-lima-miraflores-alerces-inmobiliaria-66229066,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-distrito-34-lima-surquillo-grupo-lar-143420488,"Surquillo, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-parque-castilla-lince-risso-efron-arquitectos-91487959,"Risso, Lince",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-torre-paino-668-lima-surquillo-tale-inmobiliaria-4530594,"Surquillo, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-marsano-2670-miraflores-alexander-von-humboldt-tale-inmobiliaria-4017783,"Alexander Von Humboldt, Miraflores",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememcein-proyecto-marina-city-center-san-miguel-maranga-etapa-vii-marina-city-center-sociedad-anonima-cerrada-143297906,"Maranga Etapa Vii, San Miguel",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-altavista-aranibar-lima-san-isidro-tale-inmobiliaria-143963279,"San Isidro, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememcein-proyecto-muv-condominio-santiago-de-surco-monterrico-promotora-inmobiliaria-monterrico-s-ac-empresa-8004788,"Monterrico, Santiago de Surco",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-kauri-lima-pueblo-libre-abril-grupo-inmobiliario-143736442,"Pueblo Libre, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/clasificado/veclapin-venta-de-departamento-en-las-gardenias-santiago-de-surco-3-dormitorios-144197026,"Las Gardenias, Santiago de Surco",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-country-club-san-isidro-3-dormitorios-4453222,"Country Club, San Isidro",Departamento finalizado,Departamento finalizado,320
/inmueble/clasificado/veclapin-venta-de-departamento-en-mayorazgo-ate-vitarte-3-dormitorios-91063852,"Mayorazgo, Ate Vitarte",Departamento finalizado,Departamento finalizado,150
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-2-dormitorios-144012712,"San Isidro, Lima",Departamento finalizado,Departamento finalizado,2500
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-3-dormitorios-143911343,"San Miguel, Lima",Departamento finalizado,Departamento finalizado,70
/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-144329731,"Santiago de Surco, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-2-dormitorios-144367327,"Magdalena, Lima",Departamento finalizado,Departamento finalizado,159
/inmueble/clasificado/veclapin-venta-de-departamento-en-orrantia-del-mar-magdalena-3-dormitorios-142843835,"Orrantia Del Mar, Magdalena",Departamento finalizado,Departamento finalizado,250
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-3-dormitorios-143220736,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-3-dormitorios-144309083,"Magdalena, Lima",Departamento finalizado,Departamento finalizado,250
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-2-dormitorios-144048762,"San Miguel, Lima",Departamento finalizado,Departamento finalizado,280
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-3-dormitorios-67049741,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,1000
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-3-dormitorios-4536383,"San Miguel, Lima",Departamento finalizado,Departamento finalizado,250
/inmueble/clasificado/veclapin-venta-de-departamento-en-orrantia-san-isidro-3-dormitorios-142852652,"Orrantia, San Isidro",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-3-dormitorios-144154724,"Lince, Lima",Departamento finalizado,Departamento finalizado,350
/inmueble/proyecto/ememvein-proyecto-residencial-orion-lima-jesus-maria-stella-inmobiliaria-143660870,"Jesús María, Lima",en planos,· Entrega abril 2026,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-dorue-lima-surquillo-desarrolladora-del-pacifico-4506289,"Surquillo, Lima",en construcción,· Entrega 4° trimestre 2025,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-santa-isabel-147-lima-miraflores-labok-grupo-inmobiliario-65715307,"Miraflores, Lima",en planos,· Entrega marzo 2025,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-alameda-san-miguel-lima-san-miguel-tale-inmobiliaria-144312982,"San Miguel, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-edificio-nitoa-5-vive-en-surquillo-residencial-en-acabados-surquillo-limatambo-vita-in-inmobiliaria-65984399,"Limatambo, Surquillo",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-eco-style-lima-magdalena-eco-style-144011292,"Magdalena, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-edificio-orizzon-2-vive-conectado-a-todo-en-magdalena-pronta-entrega-magdalena-oyague-vita-in-inmobiliaria-64415011,"Oyague, Magdalena",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-aster-reducto-lima-miraflores-aster-homes-143405508,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-monet-lima-jesus-maria-ciudaris-sa-143912075,"Jesús María, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-edificio-nitoa-4-vive-a-un-paso-de-san-isidro-en-acabados-lima-surquillo-vita-in-inmobiliaria-63699679,"Surquillo, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-lanzamiento-look-and-feel-2-lima-santiago-de-surco-grupo-tyc-90732278,"Santiago de Surco, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-aster-basadre-lima-san-isidro-aster-homes-143413919,"San Isidro, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-san-felipe-towers-torre-platinum-lima-jesus-maria-plm-inversiones-inmobiliarias-143502794,"Jesús María, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-maximo-abril-lima-jesus-maria-abril-grupo-inmobiliario-143929550,"Jesús María, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-edificio-plazuela-arrospide-san-isidro-orrantia-sergio-molina-143263112,"Orrantia, San Isidro",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/clasificado/veclapin-venta-de-departamento-en-aurora-miraflores-2-dormitorios-144130821,"Aurora, Miraflores",Departamento finalizado,Departamento finalizado,1000
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-143760725,"San Borja, Lima",Departamento finalizado,Departamento finalizado,600
/inmueble/clasificado/veclapin-venta-de-departamento-en-camacho-la-molina-2-dormitorios-144346955,"Camacho, La Molina",Departamento finalizado,Departamento finalizado,180
/inmueble/clasificado/veclapin-venta-de-departamento-en-pancho-fierro-santiago-de-surco-3-dormitorios-144212181,"Pancho Fierro, Santiago de Surco",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-vista-alegre-santiago-de-surco-3-dormitorios-144346845,"Vista Alegre, Santiago de Surco",Departamento finalizado,Departamento finalizado,400
/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-2-dormitorios-144002249,"Lince, Lima",Departamento finalizado,Departamento finalizado,350
/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-2-dormitorios-143710753,"Pueblo Libre, Lima",Departamento finalizado,Departamento finalizado,250
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-2-dormitorios-143770274,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,1
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-4-dormitorios-143804271,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-sarapampa-asia-2-dormitorios-144346787,"Sarapampa, Asia",Departamento finalizado,Departamento finalizado,200
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-144356399,"San Isidro, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-2-dormitorios-143854091,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,1060
/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-1-dormitorio-144392092,"Barranco, Lima",Departamento finalizado,Departamento finalizado,160
/inmueble/clasificado/veclapin-venta-de-departamento-en-acuario-santiago-de-surco-2-dormitorios-143336454,"Acuario, Santiago de Surco",Departamento finalizado,Departamento finalizado,500
/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-del-estanque-santiago-de-surco-4-dormitorios-144307388,"Chacarilla Del Estanque, Santiago de Surco",Departamento finalizado,Departamento finalizado,900
/inmueble/proyecto/ememvein-proyecto-edificio-intower-vive-a-pasos-de-chacarilla-entrega-inmediata-lima-santiago-de-surco-vita-in-inmobiliaria-63020565,"Santiago de Surco, Lima",entrega inmediata,· Entrega inmediata,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-valenti-lima-pueblo-libre-barqueros-grupo-constructor-66155929,"Pueblo Libre, Lima",en construcción,· Entrega inmediata,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-roma-living-lima-miraflores-efron-arquitectos-65015696,"Miraflores, Lima",en construcción,· Entrega abril 2025,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-la-mar-1055-lima-miraflores-tale-inmobiliaria-64548829,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-casanova-151-lima-lince-tale-inmobiliaria-142446683,"Lince, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-esencial-lince-risso-alerces-inmobiliaria-58805956,"Risso, Lince",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-zendai-la-victoria-santa-catalina-grupo-lar-143342166,"Santa Catalina, La Victoria",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-pacifik-ocean-tower-lima-san-miguel-labok-grupo-inmobiliario-3690380,"San Miguel, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-rosario-240-miraflores-santa-cruz-sembra-inmobiliaria-66811193,"Santa Cruz, Miraflores",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-vallejo-living-lince-s-n-grupo-tyc-66564092,"S/n, Lince",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-la-fuente-281-lima-san-isidro-tale-inmobiliaria-143966517,"San Isidro, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-sq-work-living-apartments-surquillo-limatambo-hl-desarrollos-inmobiliarios-65706719,"Limatambo, Surquillo",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-vista-marina-lima-chorrillos-tale-inmobiliaria-4681588,"Chorrillos, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-elant-la-victoria-santa-catalina-grupo-lar-143339804,"Santa Catalina, La Victoria",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-edificio-veta-ultimo-dpto-triplex-en-entrega-inmediata-santiago-de-surco-higuereta-vita-in-inmobiliaria-57916667,"Higuereta, Santiago de Surco",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-3-dormitorios-143700134,"Barranco, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-3-dormitorios-144202446,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-4-dormitorios-144181049,"Jesús María, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-antonio-miraflores-2-dormitorios-142852137,"San Antonio, Miraflores",Departamento finalizado,Departamento finalizado,443
/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-144338904,"Santiago de Surco, Lima",Departamento finalizado,Departamento finalizado,270
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-2-dormitorios-144312990,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,320
/inmueble/clasificado/veclapin-venta-de-departamento-en-orrantia-del-mar-san-isidro-3-dormitorios-4099636,"Orrantia Del Mar, San Isidro",Departamento finalizado,Departamento finalizado,190
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-90956867,"San Isidro, Lima",Departamento finalizado,Departamento finalizado,1300
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-143959035,"San Isidro, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-club-golf-los-incas-santiago-de-surco-3-dormitorios-142841426,"Club Golf Los Incas, Santiago de Surco",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-3-dormitorios-144225225,"Chorrillos, Lima",Departamento finalizado,Departamento finalizado,170
/inmueble/clasificado/veclapin-venta-de-departamento-en-golf-san-isidro-3-dormitorios-143969219,"Golf, San Isidro",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-3-dormitorios-143897795,"Lince, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-4-dormitorios-143380539,"Santiago de Surco, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-144194985,"Pueblo Libre, Lima",Departamento finalizado,Departamento finalizado,350
